,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
96,257,0.011951651860792493,2902.112058828848,-0.004955782712826686,0.006230677819593022,0.00923656761092273,0.00961243583465572,0.0032303381068559123,0.004510916620483162
33,74,0.012853602363368462,0.9944876649943071,-0.0024097276609085978,0.003316116603537083,0.0041641716932630515,0.00511268288143256,0.0,0.0
51,121,0.013599101053511337,1.8960083814484678,0.007388166688980548,-0.005473135258411554,0.008488083018958835,0.006069229561828904,0.0,0.0
50,120,0.013724570816828489,1.8957326559690608,0.010463294512147824,-0.006517289838598526,0.011012777905946097,0.006646664841765735,0.0,0.0
23,58,0.01388205891754403,0.5720849635959733,0.0019238667389795043,-0.004916403009601321,0.0021508279872473352,0.005200890218547112,0.0,0.0
29,70,0.014314288788196657,0.9931675113483569,0.004654484893307305,-0.0022518091355535285,0.0047007831732221485,0.002281677264146091,0.0,0.0
31,72,0.014492761971661947,0.9937796217915562,-0.0007139825707317606,0.0005023119701794793,0.0031019809560686273,0.0034360415735335288,0.0,0.0
36,77,0.016041249622358398,0.9956125514685988,0.0014165670629261652,-0.0013426212059085279,0.0065506386245260395,0.004338928119107046,0.0,0.0
5,7,0.016672868426653793,10.434274649405152,-0.001888997725241691,0.001259461574572112,0.004443852776009533,0.005015815332921213,0.0,0.0
24,59,0.018134284022839155,0.5722645184545807,-0.007847686737699472,0.009324038543324304,0.012672302582657093,0.017845785398040003,0.004912920185982841,0.009293615246621395
38,79,0.01863649425728344,0.9962592116173885,0.0029429646085035737,-0.001686417943032901,0.005177260730226879,0.005201968761842654,0.0011090498666913862,0.0019926078654730235
56,129,0.02030884903327065,1.9045977511740977,0.03427943864172383,-0.019781037555399235,0.03534744139746856,0.020303745428885807,0.004169516379670432,0.0005595054360325591
22,49,0.02863395565405659,0.5681717247561698,0.00878683870574779,-0.021841892253213136,0.009534798411687329,0.021984637079063833,0.0,0.002872670390315246
2,4,0.031133559533787845,10.413017920026878,8.064317063549741e-05,0.0012642417686010083,0.0038051727415454413,0.004521992786523917,0.0,0.0
6,8,0.04213114062463528,10.442042155762833,-0.0049303515802278835,0.0012753649093292221,0.008100684143849788,0.010098623365064502,0.0040439028105340585,0.005303432523324492
7,9,0.05512280802761905,10.449826880751893,-0.011527962704598188,0.005482376747994241,0.017618768407620694,0.013352070045158489,0.006672871576102163,0.003969901978146478
